price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd
1600000,13/2/16,Leichhardt,1,4,0,177,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31
1500000,18/2/16,Leichhardt,2,4,0,177,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31
1265000,19/2/16,Leichhardt,1,3,0,220,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31
925000,27/2/16,Leichhardt,1,2,0,139,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31
1085000,27/2/16,Leichhardt,1,2,1,209,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31
1160000,27/2/16,Leichhardt,1,3,0,186,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31
1800000,27/2/16,Leichhardt,2,3,1,348,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31
1205000,20/5/17,Leichhardt,1,2,0,184,House,14625,56784,2.595,-33.88143,151.15595,31,1.5,176.6,5.31
1682000,27/5/17,Leichhardt,1,2,0,304,House,14625,56784,2.595,-33.88143,151.15595,31,1.5,176.6,5.31
1763000,29/5/17,Leichhardt,1,3,0,328,House,14625,56784,2.595,-33.88143,151.15595,31,1.5,176.6,5.31
1220000,21/6/19,Leichhardt,1,3,0,219,House,14625,56784,2.595,-33.88143,151.15595,31,1.28,159.0,5.31
1730000,26/6/19,Leichhardt,3,4,1,190,House,14625,56784,2.595,-33.88143,151.15595,31,1.28,159.0,5.31
1800000,20/7/19,Leichhardt,1,3,8,423,House,14625,56784,2.595,-33.88143,151.15595,31,1.02,159.0,5.31
1920000,17/8/19,Leichhardt,2,4,0,380,House,14625,56784,2.595,-33.88143,151.15595,31,1.0,159.0,5.31
1083000,7/10/19,Leichhardt,1,3,1,151,House,14625,56784,2.595,-33.88143,151.15595,31,1.02,159.0,5.31
2121000,16/12/20,Leichhardt,3,4,2,348,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,183.1,5.31
1925000,21/1/21,Leichhardt,4,4,1,190,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,183.1,5.31
1390000,13/2/21,Leichhardt,2,3,1,182,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,183.1,5.31
1856000,17/2/21,Leichhardt,2,4,0,314,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,183.1,5.31
1675000,19/2/21,Leichhardt,1,3,0,221,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,183.1,5.31
2250000,20/9/21,Leichhardt,3,3,1,120,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
2700000,23/9/21,Leichhardt,2,3,0,183,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
1730000,12/10/21,Leichhardt,1,3,0,250,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
2630000,15/10/21,Leichhardt,1,4,1,340,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
2615000,20/10/21,Leichhardt,2,3,0,216,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
1225000,28/10/21,Leichhardt,1,1,0,101,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
1303000,29/10/21,Leichhardt,1,2,0,181,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
1280000,2/11/21,Leichhardt,1,2,0,135,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,183.1,5.31
1550000,16/11/21,Leichhardt,1,2,0,171,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
2260000,19/11/21,Leichhardt,1,2,1,310,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
2250000,25/11/21,Leichhardt,2,3,0,246,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
1800000,30/11/21,Leichhardt,2,2,0,215,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
1525000,2/12/21,Leichhardt,1,2,1,215,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,183.1,5.31
1900000,16/12/21,Leichhardt,1,3,2,272,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
1800000,21/12/21,Leichhardt,1,2,1,212,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
2500000,23/12/21,Leichhardt,1,3,1,348,House,14625,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31
2019000,16/12/16,Penrith,2,4,2,1214,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,172.7,49.99
900000,19/9/17,Penrith,2,6,2,1112,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,174.0,49.99
520000,20/9/17,Penrith,1,3,1,376,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,174.0,49.99
648000,20/9/17,Penrith,1,3,1,578,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,174.0,49.99
600000,29/9/17,Penrith,1,3,1,784,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,174.0,49.99
865000,9/12/17,Penrith,1,3,1,746,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,174.0,49.99
500000,18/4/19,Penrith,2,3,2,552,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,153.5,49.99
635000,13/5/19,Penrith,2,3,1,171,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,153.5,49.99
470000,27/5/19,Penrith,1,3,1,482,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,153.5,49.99
660000,30/5/19,Penrith,2,4,4,645,House,13295,32240,12.202,-33.74515,150.68955,26,1.5,153.5,49.99
901000,25/7/20,Penrith,1,3,2,600,House,13295,32240,12.202,-33.74515,150.68955,26,0.25,167.6,49.99
630000,14/8/20,Penrith,1,3,2,670,House,13295,32240,12.202,-33.74515,150.68955,26,0.25,167.6,49.99
617000,17/8/20,Penrith,1,3,2,676,House,13295,32240,12.202,-33.74515,150.68955,26,0.25,167.6,49.99
662500,18/8/20,Penrith,2,4,2,651,House,13295,32240,12.202,-33.74515,150.68955,26,0.25,167.6,49.99
2200000,13/10/20,Penrith,3,6,3,894,House,13295,32240,12.202,-33.74515,150.68955,26,0.25,172.6,49.99
800000,8/11/20,Penrith,1,3,1,800,House,13295,32240,12.202,-33.74515,150.68955,26,0.25,167.6,49.99
1655000,16/12/20,Penrith,1,3,1,1214,House,13295,32240,12.202,-33.74515,150.68955,26,0.1,183.1,49.99
1000000,17/3/21,Penrith,2,3,1,632,House,13295,32240,12.202,-33.74515,150.68955,26,0.1,197.9,49.99
